Round, GPU0, GPU1, Result
702, Scissors, Rock, GPU 1 Wins
703, Rock, Rock, Tie
704, Paper, Rock, GPU 0 Wins
705, Paper, Rock, GPU 0 Wins
706, Rock, Rock, Tie
707, Paper, Rock, GPU 0 Wins
708, Rock, Rock, Tie
709, Paper, Rock, GPU 0 Wins
710, Rock, Rock, Tie
711, Paper, Rock, GPU 0 Wins
712, Paper, Rock, GPU 0 Wins
713, Paper, Rock, GPU 0 Wins
714, Scissors, Rock, GPU 1 Wins
715, Scissors, Rock, GPU 1 Wins
716, Paper, Rock, GPU 0 Wins
717, Rock, Rock, Tie
718, Scissors, Rock, GPU 1 Wins
719, Paper, Rock, GPU 0 Wins
720, Paper, Rock, GPU 0 Wins
721, Scissors, Rock, GPU 1 Wins
722, Paper, Rock, GPU 0 Wins
723, Scissors, Rock, GPU 1 Wins
724, Scissors, Rock, GPU 1 Wins
725, Scissors, Rock, GPU 1 Wins
726, Paper, Rock, GPU 0 Wins
727, Scissors, Rock, GPU 1 Wins
728, Rock, Rock, Tie
729, Paper, Rock, GPU 0 Wins
730, Paper, Rock, GPU 0 Wins
731, Scissors, Rock, GPU 1 Wins
732, Rock, Rock, Tie
733, Scissors, Rock, GPU 1 Wins
734, Rock, Rock, Tie
735, Rock, Rock, Tie
736, Scissors, Rock, GPU 1 Wins
737, Scissors, Rock, GPU 1 Wins
738, Rock, Rock, Tie
739, Rock, Rock, Tie
740, Paper, Rock, GPU 0 Wins
741, Rock, Rock, Tie
742, Paper, Rock, GPU 0 Wins
743, Scissors, Rock, GPU 1 Wins
744, Scissors, Rock, GPU 1 Wins
745, Paper, Rock, GPU 0 Wins
746, Paper, Rock, GPU 0 Wins
747, Scissors, Rock, GPU 1 Wins
748, Paper, Rock, GPU 0 Wins
749, Scissors, Rock, GPU 1 Wins
750, Scissors, Rock, GPU 1 Wins
751, Rock, Rock, Tie
752, Paper, Rock, GPU 0 Wins
753, Scissors, Rock, GPU 1 Wins
754, Paper, Rock, GPU 0 Wins
755, Scissors, Rock, GPU 1 Wins
756, Rock, Rock, Tie
757, Rock, Rock, Tie
758, Rock, Rock, Tie
759, Scissors, Rock, GPU 1 Wins
760, Scissors, Rock, GPU 1 Wins
761, Rock, Rock, Tie
762, Paper, Rock, GPU 0 Wins
